client,Image_Path,Dominant_Colors,Text_Content,Word_Count,font_type,font_size
1,/Users/nora/Downloads/BatoolTestImg/1/1.jfif,"[[235 234 234]
 [181   5  17]
 [ 16  13  13]
 [171 169 169]
 [121 120 120]
 [ 64  64  64]
 [203 203 203]
 [226  10  25]]","READY SET
GO!

",3,Courier New,20
1,/Users/nora/Downloads/BatoolTestImg/1/30-Creative-Financial.jfif,"[[  1 107 176]
 [216 224 230]
 [ 22  72 133]
 [119 166 194]
 [  8 150 209]
 [ 26  32  48]
 [  2  84 152]
 [ 88 116 141]]","ADIB @ sats

New Car Procedures
Hassle Free

tuning ait sels
of ADIBEgypt (19951

",14,Times New Roman,19
1,/Users/nora/Downloads/BatoolTestImg/1/3e1b0aff-7db5-4095-90d9-eae1481f4d8a.jfif,"[[234 237 237]
 [177  37  41]
 [122 123 122]
 [187 178 175]
 [ 18  14  17]
 [225 110 111]
 [210 220 223]
 [ 67  63  67]]","THE NEW

PLATINUM
—ETIOS—

if.
te

",6,Times New Roman,18
1,"/Users/nora/Downloads/BatoolTestImg/1/Banner PSD, 494,000+ High Quality Free PSD Templates for Download.jfif","[[232 232 245]
 [ 83  89 184]
 [ 18  18  31]
 [153  75 225]
 [ 66 124 224]
 [110  35 209]
 [ 82  48 148]
 [180 174 174]]",,0,Comic Sans MS,18
1,/Users/nora/Downloads/BatoolTestImg/1/be79362f-d87d-4b24-b21e-f7d071bb70e4.jfif,"[[103 106 106]
 [226 225 229]
 [ 46  34  27]
 [204  44  40]
 [ 91  72  41]
 [231 125 130]
 [132 134 133]
 [186 181 180]]","2 #)0YearsWarranty

PERMAGARD’

INDIA

Defending Your Car with

o © G 4%
Self Healing Internationally Protection Scratch
Technology Approved Guaranteed Resistant
",21,Arial,29
1,/Users/nora/Downloads/BatoolTestImg/1/Car Dealership Poster Template.jfif,"[[ 89 103 117]
 [244 246 247]
 [ 44  59  70]
 [133 148 166]
 [192 199 206]
 [224 225 224]
 [ 18  21  23]
 [ 63  80  95]]","< CONTACT

",2,Times New Roman,17
1,/Users/nora/Downloads/BatoolTestImg/1/Car hire service  in Lagos Nigeria.jfif,"[[202 202 202]
 [198 137   8]
 [ 59  62  62]
 [110 114 115]
 [ 11  12  12]
 [240 242 241]
 [128  79   4]
 [145 158 162]]","QNG-Ride

li be

BON T JUST
2 vy.
R

",9,Arial,18
1,/Users/nora/Downloads/BatoolTestImg/1/Car Rental Facebook and Instagram Banner Pack.jfif,"[[ 56  52  52]
 [222 100  46]
 [246 245 244]
 [227 188 162]
 [127  96  82]
 [ 20  13  11]
 [130  42  11]
 [203 148 118]]","BEST CRONCE pee i
CAR RENTALS (20)
Xe)

@ vous tose

",11,Courier New,23
1,/Users/nora/Downloads/BatoolTestImg/1/Car rental sell promotion social media promotion banner instagram post template Psd.jfif,"[[239 243 245]
 [ 10  90 139]
 [ 81 130 156]
 [  6  24  39]
 [207 214 219]
 [ 15 136 194]
 [ 10  62  95]
 [145 176 192]]","LI a

PRICE STARTING FROM

$ 99
RnTiiesest 59

CAR TODAY

FIND THE PERFECT CAR TODAY

ORDER NOW

WWW.YOURSITEURL.COM

& tie | GS
",23,Verdana,29
1,/Users/nora/Downloads/BatoolTestImg/1/Datsun RediGo _ Class Leading Features _ Autorelli Nissan Chennai.jfif,"[[103  43  51]
 [228 227 231]
 [100   6  16]
 [146  60  69]
 [142   4  19]
 [ 26  19  22]
 [118 120 125]
 [174 170 173]]","DATSUN —

redi-GO

DUAL FRONT AIRBAGS

CASH DISCOUNT

540K

price startincerom & 3 OBLAKH*

AUTORELLI NISSAN
NANDANAM - 70358 98000 | IYYAPPANTHANGAL - 72999 87319 | OMR - 73388 87246
",30,Verdana,13
1,/Users/nora/Downloads/BatoolTestImg/1/downloaded.jfif,"[[225 225 225]
 [ 22  27  44]
 [132 131 133]
 [227  29  68]
 [182 180 180]
 [  7  10  24]
 [ 77  76  80]
 [247 246 247]]","Ss

AWA SD

",3,Verdana,22
1,/Users/nora/Downloads/BatoolTestImg/1/Drive with Pride.jfif,"[[ 14  65 138]
 [135 178 217]
 [247 251 252]
 [ 91 136 185]
 [ 40  52  77]
 [ 32  86 156]
 [ 61 108 164]
 [ 15  16  29]]","SSep:,
cARWASE

DRIVE WITH PRIDE
IN A CLEAN. CAR

A Ma
(Sxe)
7; ‘ as

WE CLEAN IT AS THOUGH WE OWN IT! VISIT Now.

More info

+91 97164 12345 © © @/speedcarwash.com
",33,Courier New,15
1,/Users/nora/Downloads/BatoolTestImg/1/e1eac16d-d3c7-4830-b921-6af5f134c810.jfif,"[[100  91  82]
 [193 193 192]
 [241 241 241]
 [127 122 116]
 [ 24  16  11]
 [216 217 218]
 [ 71  57  46]
 [168 166 162]]","TIME IS RUNNING OUT!

BOOK CAB

——

TROONI

HYDERABAD & BANGALORE

",11,Comic Sans MS,25
1,/Users/nora/Downloads/BatoolTestImg/1/Easy Car Purchase.jfif,"[[248 248 248]
 [114 111 109]
 [ 46  48  53]
 [168 160 153]
 [228 226 224]
 [ 64 146 198]
 [ 10  11  14]
 [199 197 197]]","For those who want an
easy car purchase

",8,Arial,17
1,/Users/nora/Downloads/BatoolTestImg/1/Introducing The New Volvo Xc 40 Car Ad - Advert Gallery.jfif,"[[ 58  32  34]
 [172 127 134]
 [246 245 245]
 [111  59  66]
 [ 83  46  50]
 [192 188 192]
 [ 16  16  17]
 [138  85  91]]","votLuvaoe

INTRODUCING

THE NEW VOLVO XC40

[DESIGNED WITH EVERY THING IN MIND.
",12,Times New Roman,25
1,/Users/nora/Downloads/BatoolTestImg/1/layout.jfif,"[[174 189 192]
 [ 51  63  71]
 [ 84  95 107]
 [217 226 223]
 [165  30  52]
 [121 154 161]
 [ 72  30  47]
 [249 250 249]]",,0,Arial,28
1,/Users/nora/Downloads/BatoolTestImg/1/Luxury cars.jfif,"[[253 252 252]
 [196  11  23]
 [115 112 113]
 [ 12  11  12]
 [151 144 144]
 [ 61  58  61]
 [234 230 231]
 [193 184 186]]","= YOUR LOGO
oS
: RENT & DRIVE

AFFORDABLE
DAILY

(QE) eyour_handle (©) 0100-200-300
",14,Times New Roman,29
1,/Users/nora/Downloads/BatoolTestImg/1/More than just Car buying.jfif,"[[243 239 230]
 [ 57  57  50]
 [141 135 131]
 [ 21  22  17]
 [156 176 192]
 [ 66 137 193]
 [ 89  95 100]
 [220 215 206]]",,0,Courier New,15
1,/Users/nora/Downloads/BatoolTestImg/1/Petromin.jfif,"[[237 201  50]
 [160  81  35]
 [239 215 148]
 [114  48  29]
 [192 126  27]
 [ 42  19   8]
 [190 145 103]
 [246 242 227]]","“COOLER
SUMMER!

",2,Comic Sans MS,13
1,/Users/nora/Downloads/BatoolTestImg/1/Peugeot car Creative Ads.jfif,"[[230 238 245]
 [ 56  69  87]
 [151 161 177]
 [186 198 211]
 [ 16  16  21]
 [158  16  33]
 [207 218 229]
 [100 114 133]]","NOW YOU KNOW

were TO LOO

218/B, Gulshan - Tejgaon Link Road, Dhaka
[801715091172 tapeugeotbonalodesh epeugeot com bd
",18,Arial,15
1,/Users/nora/Downloads/BatoolTestImg/1/Premium PSD _ Car rental promotion social media instagram post banner template.jfif,"[[ 18  18  17]
 [149 147 144]
 [ 66  66  66]
 [235 235 235]
 [246 169  18]
 [106 105 102]
 [190 189 186]
 [ 43  42  42]]","BEST CAR
FOR RE

iB) son.-2348- 6790. couena 7 GGG scan
Mrogesnentacou Saran cena roceTmone

RIAU ane Gree ieomesron

IMAGE NOT INCLUDED
",22,Arial,26
1,/Users/nora/Downloads/BatoolTestImg/1/Premium Vector _ Rent car for social media post banner template.jfif,"[[223 222 222]
 [127   8  26]
 [177   2  25]
 [ 52  57  68]
 [140 112 116]
 [190 181 181]
 [ 23  17  14]
 [245 242 242]]","NEED CAR
BIG OR SMALL

WE HAVE THEM ALL —

Qromee

",11,Comic Sans MS,26
1,/Users/nora/Downloads/BatoolTestImg/1/Revitalize Your Car's Energy.jfif,"[[ 73  51 107]
 [246 238 236]
 [117  83  89]
 [ 21  19  36]
 [150 135 132]
 [204  74  87]
 [206 181 173]
 [ 76  53  49]]",,0,Comic Sans MS,12
1,"/Users/nora/Downloads/BatoolTestImg/1/You Choose The Car, We Will Do Rest.jfif","[[207 203 203]
 [ 74  69  72]
 [226 224 228]
 [ 31  29  32]
 [126 121 120]
 [ 37 131 174]
 [174 169 167]
 [244 245 248]]","‘9
ig

YOU CHOOSE THE CAR
WE WILL DO REST

BEST PRE AND POST DELIVERY AT
DEALS DOCUMENTATION YOUR DOOR STEP

",21,Times New Roman,11
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.05 PM (1).jpeg,"[[253 254 254]
 [111 158 182]
 [  8   9  11]
 [151 201 229]
 [ 60  59  65]
 [197 223 237]
 [127 178 206]
 [ 76 113 133]]","FZ KB 607 [Im

1 a ~ |

LIKE DRIVING UPHILL. {ode spn insite
BUT DOWNHILL. panentepceetl

Theta ine aout

TRABANT OO WI
“THETRABANT 601, WITH ONLY67 MPH, Ante
",29,Verdana,20
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.05 PM.jpeg,"[[ 99 106 110]
 [249 250 251]
 [ 36  44  47]
 [170 175 177]
 [214 218 222]
 [ 64  71  74]
 [ 12  12  13]
 [131 137 142]]","‘DIAMUNDIAL DE LA NATURALEZA
‘3 DE MARZO
",7,Times New Roman,10
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.06 PM (1).jpeg,"[[229 233 235]
 [ 40  41  45]
 [153 157 161]
 [250 251 251]
 [183 186 191]
 [  9  10  13]
 [224 225 225]
 [104 106 110]]",,0,Comic Sans MS,30
